,lead,closed,monthly adspend,n paid traffic platforms,business,monthly revenue,% traffic from ads,average order value,new customers,monthly visits change,bounce rate,source,review sentiment,dominant platform,subscriber,monthly hardcosts,Unnamed: 15,ad revenue,roas,cac,profit,keyword matchtype,n links lp,n words lp,trigger words  lp,lpc,profit margin
0,FrankKern.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,ImpactTheory.Com,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,digitalmillionairesecrets.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,mastermind.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,ShopaNova.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,SamCart.io,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,Clickfunnels.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,billygeneismarketing.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,kinobody.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ladyboss.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,GymLaunch.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,SmarterNutrition.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,thedouglasjames.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
13,fulltimefilmmaker.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
14,webuildbrands UG,1,,,,,,,,,,,,,,,,,,,,,,,,,
15,leadgenblueprint.ryanwegner.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
16,groovelife.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
17,NINEUNIVERSITY.COM,1,,,,,,,,,,,,,,,,,,,,,,,,,
18,peterszabo.co,1,,,,,,,,,,,,,,,,,,,,,,,,,
19,Current9.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
20,rydermedia.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
21,prestigepromedia.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,admagnet.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
23,AdSkills.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
24,gatestonebpo.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
25,heybrain.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
26,milliondollarfirms.co,1,,,,,,,,,,,,,,,,,,,,,,,,,
27,rankoneecommerce.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
28,leadjolt.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
29,InclusivleyCreative.com,1,,,,,,,,,,,,,,,,,,,,,,,,,
