lead,closed,monthly traffic spend,domain,business model,monthly revenue,% paid traffic,average order value,new customers,visits,monthly visits change,bounce rate,source,review sentiment,dominant platform,subscriber,monthly hardcosts,ad revenue,roas,cac,profit,n links lp,n words lp,trigger words  lp,lpc,profit margin
FrankKern.com,1,54437,entrepreneurship,info,583310,12.3,3000,194,86590,-35026,52.53,,,youtube,,18666,71747.13,17310.13,280,510207,2,2140,55,2198,87.47
ImpactTheory.Com,1,126095,self-development,media,250000,12.23,97,25773,147290,4448,50.8,,,youtube,,8000,30575,-95520,5,115905,,,,,46.36
digitalmillionairesecrets.com,1,139711,entrepreneurship,info,1666667,82.83,997,1672,49999,-18005,81.64,,,facebook,,53333,1380500,1240789,84,1473623,3,108,1,113,88.42
mastermind.com,1,220950,entrepreneurship,software,2877110,3.91,297,9687,807270,-202140,50.84,,,facebook,,1726266,112495,-108455,23,929894,,,,,32.32
ShopaNova.com,1,100000,ecommerce,software,333333,38.51,2000,167,16700,2505,64.14,,,,,200000,128367,,599,33333,1,14,1,17,10
SamCart.io,1,218815,ecommerce,software,750000,34.34,99,7576,1950000,309270,65.45,,,facebook,,450000,257550,38735,29,81185,1,71,2,75,10.82
Clickfunnels.com,1,3540166,marketing,software,11391660,59.23,297,38356,13070000,858699,54.05,,,youtube,,6834996,6747280.218,3207114,92,1016498,14,3094,60,3169,8.92
billygeneismarketing.com,1,116155,entrepreneurship,info,399984,37.92,197,2030,203000,-83230,54,,,,,12799,151674,,57,271030,1,42,3,47,67.76
kinobody.com,1,348603,fitness,info,1045809,15.99,69,15157,365360,-11655,61.96,,,youtube,,33200,167225,-181378,11,664006,1,32,1,35,63.49
Ladyboss.com,1,521329,fitness,info,949962,37.7,1000,950,482210,111391,66.11,,,facebook,,30399,358135.674,-163193.326,549,561427,5,287,5,298,59.01
GymLaunch.com,1,97574,entrepreneurship,info,336000,32.12,6000,56,5600,-37078,57,,,,,10752,111283,,1742,227674,,,,,67.76
SmarterNutrition.com,1,45035,fitness,ecommerce,78500,41.12,40,1963,52880,915,61.74,,,facebook,,27475,32279,-12756,23,5990,5,2485,15,2506,7.63
thedouglasjames.com,1,60984,entrepreneurship,info,210000,35.12,3000,70,7000,-2520,59,,,,,6720,73752,,871,143200,,,,,67.76
fulltimefilmmaker.com,1,65272,film,info,333333,22.28,799,417,431580,53386,59.16,,,youtube,,10667,74267,8995,157,257394,2,124,1,128,77.22
webuildbrands UG,1,198000,marketing,consulting,495000,0,5000,99,9999,-2100,51,,,,,0,2158200,,0,495000,,,,,100
leadgenblueprint.ryanwegner.com,1,14289,entrepreneurship,info,49203,37.62,497,99,9999,-2800,62,,,,,1574,18510,,144,33334,1,135,3,140,67.76
groovelife.com,1,2332049,apparel,ecommerce,9250000,60.49,45,205556,1230000,229395,56.61,,,facebook,,3237500,5595325,3263276,11,3680451,11,4808,0,4820,39.79
NINEUNIVERSITY.COM,1,67760,ecommerce,info,233333,36.12,1997,117,11700,-3127,64,,,,,7467,84280,,579,158106,,,,,67.76
peterszabo.co,1,36300,entrepreneurship,info,125000,35.12,3000,42,4200,-1260,65,,,,,4000,43900,,865,84700,2,112,8,123,67.76
Current9.com,1,22767,entrepreneurship,info,78408,37.32,792,99,9999,-2400,66,,,,,2509,29261,,230,53132,7,435,8,451,67.39
rydermedia.com,1,198000,marketing,consulting,495000,0,5000,99,9999,-2800,57,,,,,0,2039400,,0,495000,,,,,100
prestigepromedia.com,1,31200,marketing,consulting,78000,0,6000,13,1300,149,58,,,,,0,321360,,0,78000,,,,,100
admagnet.com,1,198000,marketing,consulting,495000,0,5000,99,9999,-2600,59,,,,,0,1999800,,0,495000,,,,,100
AdSkills.com,1,41924,marketing,consulting,416667,12.82,295,1412,72160,284,52.3,,,youtube,,0,53417,11493,27,374743,,,,,89.94
gatestonebpo.com,1,2558334,finance,consulting,51166667,5.5,6396,8000,800000,-243000,61,,,,,0,6140000,,320,45026667,,,,,88
heybrain.com,1,15000,technology,info,1485,100,15,99,9999,320,58,,,,,48,1485,,152,-13563,,,,,-9.13
milliondollarfirms.co,1,57413,finance,info,197703,36.12,1997,99,9999,-1700,73,,,,,6326,71410,,580,133964,7,2776,61,2845,67.76
rankoneecommerce.com,1,37125,ecommerce,software,123750,32.09,1250,99,9999,1499,67.65,,,,,74250,39711,,375,12375,7,629,11,648,10
leadjolt.com,1,133333,marketing,consulting,333333,0,500,667,66700,-23345,65,,,,,0,1266665,,0,333333,,,,,100
InclusivleyCreative.com,1,198000,marketing,consulting,495000,0,5000,99,9999,-3600,66,,,,,0,1861200,,0,495000,3,1179,11,1194,100
neilpatel.com,0,238224,marketing,consulting,333333,2.11,16667,20,7190000,-481730,51.23,,,youtube,,0,1247311,-97858,5245,228442,1,67,2,71,68.53
ImpedeMedia.com,0,79200,marketing,consulting,198000,0,2000,99,9999,-3800,68,,,,,0,728640,,0,198000,,,,,100
JamesMills.co.uk,0,5200,technology,consulting,26000,0,2000,13,1300,-507,69,,,,,0,36920,,0,26000,,,,,100
exfilproject.com,0,66667,marketing,consulting,166667,0,3333,50,5000,-2000,70,,,,,0,600003,,0,166667,,,,,100
seo-hacker.com,0,166845,marketing,consulting,396825,4.5,2846,139,52670,-25466,77.11,,,quora,,0,1430554,9742.125,58,388710,,,,,97.96
hautehijab.com,0,135545,apparel,ecommerce,333333,27.24,33,10101,232230,-32652,52.63,,,facebook,,116667,90799.092,-44745.908,13,81121,20,20,0,41,24.33
ontraport.com,0,975490,marketing,software,46326084,25.18,297,155980,3040000,64144,53.02,,,facebook,,27795650,11664907.95,10689417.95,6,17554944,1,52,4,58,37.89
getmainlobster.com,0,1250,food,restaurant,250000,5.5,210,1190,119000,3512,58.6,,,,,150000,13750,,1,98750,13,26,0,40,39.5
launchtitans.com,0,100000,marketing,consulting,250000,0,2000,125,12500,-3750,75,,,,,0,850000,,0,250000,6,858,25,890,100
eofire.com,0,14097,entrepreneurship,info,416667,1.84,15,27779,109450,-27461,76.1,,,facebook,,13333,7667,-6430,0.5,389237,,,,,93.42
reww.com,0,11979,realestate,consulting,476190,2.36,70086,7,72510,94,65.11,,,youtube,,0,11238.084,-740.916,1711,464211,2,268,2,273,97.48
draxe.com,0,1372626,health,info,2083250,7.79,50,41665,33300000,-267300,71.3,,,facebook,,66664,162285.175,-1210341,33,643960,,,,,30.9
titansdvds.com,0,79200,marketing,consulting,198000,0,2000,99,9999,-3000,79,,,,,0,641520,,0,198000,,,,,100
vitalitymarketingfirm.com,0,33333,marketing,consulting,83333,0,5650,15,1500,-450,80,,,,,0,266667,,0,83333,,,,,100
embertribe.com,0,63492,marketing,consulting,158730,0,3000,53,5300,-1590,81,,,,,0,482539,,0,158730,3,209,0,213,100
theyoungrens.com,0,4608,photography,consulting,38400,25,2400,16,1600,48,57.8,,,,,0,9600,,288,33792,,,,,88
