name,landingPage,domain,model,source,adspend,hardcosts,revenue,avg_polarity,avg_subjectivity,std_polarity,std_subjectivity,words,triggers,links,percentSocial,percentDisplay,percentSearchPaid,percentSearch,visits,monthlyVisitsChange,bounceRate,dominantPlatform,global,percentPaid,sales,adRevenue,cac,roas,profit,profitMargin,lpc,averageOrderValue
clickfunnels.com,https://funnelscripts.com/funnelscripts-webclass,marketing,software,word of mouth,70000,5000000,9000000,0.174347,0.301414,0.234015,0.294734,247,8,11,3.72,31.45,0.2165,5.74,12520000,528344,55,Youtube,1270,0.353865,30303,8958189.977,0.038501394,127.9741425,3930000,0.436666667,21736,297
kinobody.com,https://go.kinobody.com/quiz/,fitness,info / coaching,word of mouth,210000,20000,630000,0.229375,0.561667,0.312751,0.242723,1163,13,7,11.37,0.72,0.0391,49.97,335740,27229,62.19,Youtube,88504,0.121291,9130,514511.9652,138.9808074,2.450056977,400000,0.634920635,105833,69
PocketTherapist.com,,health,software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperVision.com,,marketing,consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rammo.io,,entertainment,software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantGuy.com,,finance,consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HatchStrategy.com,,technology,consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potosnail.com,,technology,software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAlegal.com,,firearms,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CustomerEngine.com,,ecommerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesScientist.com,,sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeover.io,,marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
